variant,prompt,machine_id,expected_status,actual_status,status_match,rul,sensor_id,severity,spike_value,rubric_aggregate,latency_ms,hit,status
V0_full,minor bearing wobble on Machine 1,1.0,ONLINE,ONLINE,True,71.11508178710938,Xs0,LOW,0.58,5.0,3525.3710746765137,,
V0_full,slight motor temp drift on Machine 2,2.0,ONLINE,ONLINE,True,70.95136260986328,Xs3,LOW,0.55,5.0,1529.8912525177002,,
V0_full,subtle pressure creep on Machine 3,3.0,ONLINE,ONLINE,True,71.00308227539062,Xs4,LOW,0.49,5.0,1547.2795963287354,,
V0_full,intermittent vibration on Machine 4,4.0,ONLINE,ONLINE,True,71.11880493164062,Xs0,LOW,0.55,5.0,1419.2776679992676,,
V0_full,early sign of coolant flow drop on Machine 5,5.0,ONLINE,ONLINE,True,70.99213409423828,W3,LOW,0.61,5.0,1714.6787643432617,,
V0_full,bearing temperature spike on Machine 1,1.0,ONLINE,ONLINE,True,70.20662689208984,Xs2,MEDIUM,0.78,5.0,1943.514108657837,,
V0_full,motor temp anomaly on Machine 2,2.0,ONLINE,ONLINE,True,70.322021484375,Xs3,MEDIUM,0.72,5.0,1540.729284286499,,
V0_full,oil pressure surge on Machine 3,3.0,ONLINE,ONLINE,True,70.23035430908203,Xs4,MEDIUM,0.81,5.0,1278.775930404663,,
V0_full,vibration above normal on Machine 4,4.0,ONLINE,ONLINE,True,70.96337890625,Xs0,MEDIUM,0.72,5.0,1439.3460750579834,,
V0_full,coolant flow disruption on Machine 5,5.0,ONLINE,ONLINE,True,70.77165985107422,W3,MEDIUM,0.76,5.0,1540.8861637115479,,
V0_full,catastrophic bearing failure on Machine 1,1.0,OFFLINE,OFFLINE,True,1.1891658306121826,Xs2,HIGH,0.91,5.0,1547.205924987793,,
V0_full,complete motor breakdown on Machine 2,2.0,OFFLINE,OFFLINE,True,1.1891658306121826,W0,HIGH,0.93,5.0,1415.1458740234375,,
V0_full,oil pressure rupture on Machine 3,3.0,OFFLINE,OFFLINE,True,1.1891658306121826,Xs4,HIGH,0.93,5.0,1703.848123550415,,
V0_full,explosion in Machine 4,4.0,OFFLINE,OFFLINE,True,1.1891658306121826,Xs2,HIGH,0.91,5.0,1856.2262058258057,,
V0_full,shaft lock on Machine 5,5.0,OFFLINE,OFFLINE,True,1.1891658306121826,W0,HIGH,0.93,5.0,1288.731575012207,,
V0_full,bearing overheat on metal press,1.0,ONLINE,ONLINE,True,70.0743408203125,Xs2,MEDIUM,0.78,5.0,1704.1902542114258,,
V0_full,oil pressure surge on QC line,5.0,ONLINE,ONLINE,True,70.45987701416016,Xs4,MEDIUM,0.78,5.0,1611.2604141235352,,
V0_full,catastrophic failure on paint and coat,2.0,OFFLINE,OFFLINE,True,1.1891658306121826,Xs2,HIGH,0.93,5.0,1420.6643104553223,,
V0_full,hi,1.0,REJECTED,REJECTED,True,,,,,,0.0035762786865234375,,
V0_full,what is the weather today,1.0,REJECTED,REJECTED,True,,,,,,0.008344650268554688,,
V1_no_severity,minor bearing wobble on Machine 1,1.0,ONLINE,ONLINE,True,71.04267120361328,Xs0,MEDIUM,0.58,5.0,1727.9338836669922,,
V1_no_severity,slight motor temp drift on Machine 2,2.0,ONLINE,ONLINE,True,70.93484497070312,Xs3,MEDIUM,0.52,5.0,2177.6204109191895,,
V1_no_severity,subtle pressure creep on Machine 3,3.0,ONLINE,ONLINE,True,71.03871154785156,Xs4,MEDIUM,0.58,5.0,1660.4382991790771,,
V1_no_severity,intermittent vibration on Machine 4,4.0,ONLINE,ONLINE,True,71.09577178955078,Xs0,MEDIUM,0.55,5.0,1243.0860996246338,,
V1_no_severity,early sign of coolant flow drop on Machine 5,5.0,ONLINE,ONLINE,True,71.04435729980469,W3,MEDIUM,0.52,5.0,1602.7698516845703,,
V1_no_severity,bearing temperature spike on Machine 1,1.0,ONLINE,ONLINE,True,70.03321838378906,Xs2,MEDIUM,0.78,5.0,2368.450880050659,,
V1_no_severity,motor temp anomaly on Machine 2,2.0,ONLINE,ONLINE,True,70.18297576904297,Xs3,MEDIUM,0.72,5.0,3622.46036529541,,
V1_no_severity,oil pressure surge on Machine 3,3.0,ONLINE,ONLINE,True,70.22489166259766,Xs4,MEDIUM,0.78,5.0,3893.183708190918,,
V1_no_severity,vibration above normal on Machine 4,4.0,ONLINE,ONLINE,True,70.94730377197266,Xs0,MEDIUM,0.78,5.0,2301.1269569396973,,
V1_no_severity,coolant flow disruption on Machine 5,5.0,ONLINE,ONLINE,True,70.72145080566406,W3,MEDIUM,0.76,5.0,1427.6528358459473,,
V1_no_severity,catastrophic bearing failure on Machine 1,1.0,OFFLINE,OFFLINE,True,1.1891658306121826,Xs2,MEDIUM,0.96,5.0,1407.3307514190674,,
V1_no_severity,complete motor breakdown on Machine 2,2.0,OFFLINE,OFFLINE,True,1.1891658306121826,W0,MEDIUM,0.92,5.0,1551.3286590576172,,
V1_no_severity,oil pressure rupture on Machine 3,3.0,OFFLINE,OFFLINE,True,1.1891658306121826,Xs4,MEDIUM,0.93,5.0,1354.5634746551514,,
V1_no_severity,explosion in Machine 4,4.0,OFFLINE,OFFLINE,True,1.1891658306121826,Xs2,MEDIUM,0.94,5.0,1604.3622493743896,,
V1_no_severity,shaft lock on Machine 5,5.0,OFFLINE,OFFLINE,True,1.1891658306121826,W0,MEDIUM,0.92,5.0,1728.2366752624512,,
V1_no_severity,bearing overheat on metal press,1.0,ONLINE,ONLINE,True,70.22296905517578,Xs2,MEDIUM,0.76,5.0,1353.7518978118896,,
V1_no_severity,oil pressure surge on QC line,5.0,ONLINE,ONLINE,True,70.22079467773438,Xs4,MEDIUM,0.81,5.0,1297.9505062103271,,
V1_no_severity,catastrophic failure on paint and coat,2.0,OFFLINE,OFFLINE,True,1.1891658306121826,Xs2,MEDIUM,0.93,5.0,1386.8212699890137,,
V1_no_severity,hi,1.0,REJECTED,REJECTED,True,,,,,,0.0026226043701171875,,
V1_no_severity,what is the weather today,1.0,REJECTED,REJECTED,True,,,,,,0.0069141387939453125,,
V2_no_correlations,minor bearing wobble on Machine 1,1.0,ONLINE,ONLINE,True,71.13532257080078,Xs0,LOW,0.58,5.0,1337.9182815551758,,
V2_no_correlations,slight motor temp drift on Machine 2,2.0,ONLINE,ONLINE,True,71.0246810913086,Xs3,LOW,0.58,5.0,1284.1260433197021,,
V2_no_correlations,subtle pressure creep on Machine 3,3.0,ONLINE,ONLINE,True,71.15190124511719,Xs4,LOW,0.55,5.0,1431.7758083343506,,
V2_no_correlations,intermittent vibration on Machine 4,4.0,ONLINE,ONLINE,True,71.14714050292969,Xs0,LOW,0.61,5.0,1296.6670989990234,,
V2_no_correlations,early sign of coolant flow drop on Machine 5,5.0,ONLINE,ONLINE,True,71.1111831665039,W3,LOW,0.55,5.0,1293.1954860687256,,
V2_no_correlations,bearing temperature spike on Machine 1,1.0,ONLINE,ONLINE,True,70.8815689086914,Xs2,MEDIUM,0.78,5.0,1323.7419128417969,,
V2_no_correlations,motor temp anomaly on Machine 2,2.0,ONLINE,ONLINE,True,70.76561737060547,Xs3,MEDIUM,0.78,5.0,1768.449068069458,,
V2_no_correlations,oil pressure surge on Machine 3,3.0,ONLINE,ONLINE,True,71.12003326416016,Xs4,MEDIUM,0.78,5.0,1304.908275604248,,
V2_no_correlations,vibration above normal on Machine 4,4.0,ONLINE,ONLINE,True,71.1382827758789,Xs0,MEDIUM,0.75,5.0,1534.827709197998,,
V2_no_correlations,coolant flow disruption on Machine 5,5.0,ONLINE,ONLINE,True,71.1031723022461,W3,MEDIUM,0.72,5.0,1416.7768955230713,,
