variant,prompt,machine_id,expected_status,actual_status,status_match,rul,sensor_id,severity,spike_value,rubric_aggregate,latency_ms,hit,status
V0_full,minor bearing wobble on Machine 1,1.0,ONLINE,ONLINE,True,66.45582580566406,Xs0,LOW,0.58,5.0,10385.82730293274,,
V0_full,slight motor temp drift on Machine 2,2.0,ONLINE,ONLINE,True,68.9840087890625,Xs3,LOW,0.58,5.0,1489.7172451019287,,
V0_full,subtle pressure creep on Machine 3,3.0,ONLINE,ONLINE,True,68.87329864501953,Xs4,LOW,0.61,5.0,1929.8458099365234,,
V0_full,intermittent vibration on Machine 4,4.0,ONLINE,ONLINE,True,72.66046905517578,Xs0,LOW,0.61,5.0,1540.132999420166,,
V0_full,early sign of coolant flow drop on Machine 5,5.0,ONLINE,ONLINE,True,79.03022003173828,W3,LOW,0.58,5.0,1532.4156284332275,,
V0_full,bearing temperature spike on Machine 1,1.0,ONLINE,ONLINE,True,36.791053771972656,Xs2,MEDIUM,0.78,5.0,1536.5304946899414,,
V0_full,motor temp anomaly on Machine 2,2.0,ONLINE,ONLINE,True,36.102237701416016,Xs3,MEDIUM,0.78,5.0,1773.1373310089111,,
V0_full,oil pressure surge on Machine 3,3.0,ONLINE,ONLINE,True,39.660335540771484,Xs4,MEDIUM,0.78,5.0,1777.5154113769531,,
V0_full,vibration above normal on Machine 4,4.0,ONLINE,ONLINE,True,34.774749755859375,Xs0,MEDIUM,0.72,5.0,1892.085313796997,,
V0_full,coolant flow disruption on Machine 5,5.0,ONLINE,ONLINE,True,54.99830627441406,W3,MEDIUM,0.78,5.0,1296.9846725463867,,
V0_full,catastrophic bearing failure on Machine 1,1.0,OFFLINE,OFFLINE,True,8.217397689819336,Xs2,HIGH,0.93,5.0,1301.3596534729004,,
V0_full,complete motor breakdown on Machine 2,2.0,OFFLINE,DEGRADED,False,26.38856315612793,W0,HIGH,0.95,5.0,1773.9591598510742,,
V0_full,oil pressure rupture on Machine 3,3.0,OFFLINE,OFFLINE,True,13.16439151763916,Xs4,HIGH,0.93,5.0,2950.5155086517334,,
V0_full,explosion in Machine 4,4.0,OFFLINE,OFFLINE,True,7.485679626464844,Xs2,HIGH,0.94,5.0,1645.1473236083984,,
V0_full,shaft lock on Machine 5,5.0,OFFLINE,DEGRADED,False,26.094566345214844,W0,HIGH,0.93,5.0,1536.31591796875,,
V0_full,bearing overheat on metal press,1.0,ONLINE,ONLINE,True,37.24149703979492,Xs2,MEDIUM,0.78,5.0,1636.5456581115723,,
V0_full,oil pressure surge on QC line,5.0,ONLINE,ONLINE,True,38.74807357788086,Xs4,MEDIUM,0.78,5.0,1504.6041011810303,,
V0_full,catastrophic failure on paint and coat,2.0,OFFLINE,OFFLINE,True,9.149198532104492,Xs2,HIGH,0.91,5.0,1582.4246406555176,,
V0_full,hi,1.0,REJECTED,REJECTED,True,,,,,,0.0040531158447265625,,
V0_full,what is the weather today,1.0,REJECTED,REJECTED,True,,,,,,0.008344650268554688,,
V1_no_severity,minor bearing wobble on Machine 1,1.0,ONLINE,ONLINE,True,68.39521789550781,Xs0,MEDIUM,0.58,5.0,1306.1087131500244,,
V1_no_severity,slight motor temp drift on Machine 2,2.0,ONLINE,ONLINE,True,72.38968658447266,Xs3,MEDIUM,0.58,5.0,1192.091464996338,,
V1_no_severity,subtle pressure creep on Machine 3,3.0,ONLINE,ONLINE,True,72.87261962890625,Xs4,MEDIUM,0.61,5.0,1217.1542644500732,,
V1_no_severity,intermittent vibration on Machine 4,4.0,ONLINE,ONLINE,True,69.83055877685547,Xs0,MEDIUM,0.58,5.0,1083.940029144287,,
V1_no_severity,early sign of coolant flow drop on Machine 5,5.0,ONLINE,ONLINE,True,73.07936096191406,W3,MEDIUM,0.58,5.0,1115.5152320861816,,
V1_no_severity,bearing temperature spike on Machine 1,1.0,ONLINE,ONLINE,True,35.60499954223633,Xs2,MEDIUM,0.78,5.0,1282.6793193817139,,
V1_no_severity,motor temp anomaly on Machine 2,2.0,ONLINE,ONLINE,True,42.85641098022461,Xs3,MEDIUM,0.78,5.0,1549.030065536499,,
V1_no_severity,oil pressure surge on Machine 3,3.0,ONLINE,ONLINE,True,36.96659469604492,Xs4,MEDIUM,0.78,5.0,1189.1279220581055,,
