arm,n,agreement,ci_lo,ci_hi,kappa,share_high,share_low,fallback_rate
gemini_3_5_flash__production+fewshot,300,0.43666666666666665,0.3580508474576271,0.6153846153846154,0.3311258278145697,0.21333333333333335,0.12666666666666668,0.0
gemini_2_5_flash__production+fewshot,300,0.43,0.3728813559322034,0.5512820512820513,0.3063583815028901,0.37666666666666665,0.11,0.0
qwen3_4b__production+fewshot,300,0.42,0.2826086956521739,0.5993150684931506,0.22631578947368414,0.6,0.0,0.0
gemini_2_5_flash_nothink__production+fewshot,300,0.4066666666666667,0.33783783783783783,0.6025641025641025,0.3154574132492113,0.3333333333333333,0.056666666666666664,0.0
gemma3_4b__production+fewshot,300,0.38666666666666666,0.27941176470588236,0.4794520547945205,0.1287553648068669,0.8266666666666667,0.06,0.0
llama3_2_3b__production,300,0.38333333333333336,0.34234234234234234,0.5,0.10270270270270254,0.4033333333333333,0.16333333333333333,0.0
keyword_regex_extended,300,0.37,0.326271186440678,0.47435897435897434,0.10126582278481022,0.07,0.05333333333333334,0.0
qwen3_8_27b__production+fewshot,300,0.36666666666666664,0.3190789473684211,0.48717948717948717,0.18493150684931492,0.08,0.22666666666666666,0.0
gemma3_4b__production,300,0.36666666666666664,0.25735294117647056,0.4794520547945205,0.03539823008849552,0.7966666666666666,0.043333333333333335,0.0
qwen3_4b__production,300,0.3566666666666667,0.27884615384615385,0.41975308641975306,0.10628019323671511,0.7133333333333334,0.0,0.0
keyword_regex_severity,300,0.35333333333333333,0.2817796610169492,0.5,0.0444444444444444,0.05,0.03333333333333333,0.0
gpt_oss_120b__production+fewshot,300,0.35,0.2727272727272727,0.46153846153846156,0.09876543209876554,0.09666666666666666,0.04666666666666667,0.0
gemini_2_5_flash__production,300,0.35,0.29896907216494845,0.48717948717948717,0.09411764705882353,0.11666666666666667,0.06666666666666667,0.0
qwen3_8_27b__production,300,0.3433333333333333,0.30864197530864196,0.3942307692307692,0.06329113924050633,0.10333333333333333,0.2833333333333333,0.0
tfidf_logreg,300,0.34,0.27941176470588236,0.36036036036036034,0.06167400881057261,0.6,0.24666666666666667,0.0
gemini_2_5_flash_nothink__production,300,0.3333333333333333,0.2747747747747748,0.5,0.04115226337448574,0.08333333333333333,0.06,0.0
bge_m3_logreg,300,0.33,0.2826086956521739,0.3835616438356164,0.012499999999999845,0.59,0.3433333333333333,0.0
gemini_3_5_flash__production,300,0.32666666666666666,0.27927927927927926,0.46153846153846156,0.01632653061224487,0.07,0.08,0.0
gpt_oss_120b__production,300,0.32666666666666666,0.2584745762711864,0.46153846153846156,0.033755274261603296,0.07666666666666666,0.04666666666666667,0.0033333333333333335
llama3_2_3b__production+fewshot,300,0.32,0.23684210526315788,0.5128205128205128,0.050156739811912154,0.31,0.08666666666666667,0.0
embedding_severity,300,0.32,0.28205128205128205,0.34545454545454546,-0.06542056074766389,0.3933333333333333,0.36666666666666664,0.0
bge_m3_logreg_external,300,0.31333333333333335,0.26811594202898553,0.3732876712328767,-0.03921568627450989,0.36,0.16333333333333333,0.0
minilm_finetuned,300,0.31,0.2431818181818182,0.41818181818181815,-0.04347826086956519,0.5666666666666667,0.14666666666666667,0.0
tfidf_logreg_external,300,0.30333333333333334,0.27403846153846156,0.3382352941176471,-0.029055690072639306,0.5166666666666667,0.19333333333333333,0.0
minilm_logreg,300,0.30333333333333334,0.20512820512820512,0.34545454545454546,0.004264392324093813,0.51,0.38666666666666666,0.0
minilm_logreg_external,300,0.2866666666666667,0.21794871794871795,0.33636363636363636,-0.08941176470588252,0.4066666666666667,0.3433333333333333,0.0
minilm_finetuned_external,300,0.28,0.23780487804878048,0.3253424657534247,-0.07799442896935926,0.44333333333333336,0.08666666666666667,0.0
