reference,arm,arm_agreement,reference_agreement,diff,ci_lo,ci_hi,p,p_method,n_groups,p_holm
keyword_regex_severity,gemini_2_5_flash__production,0.35,0.35333333333333333,-0.0055781126090404445,-0.023195876288659795,0.014153846153846156,0.75,exact,4,1.0
keyword_regex_severity,gemini_2_5_flash_nothink__production,0.3333333333333333,0.35333333333333333,-0.01604123711340206,-0.05412371134020618,0.006,1.0,exact,4,1.0
keyword_regex_severity,gemini_3_5_flash__production,0.32666666666666666,0.35333333333333333,-0.025002379064234734,-0.05400475812846947,0.004,0.5,exact,4,1.0
keyword_regex_severity,gemma3_4b__production,0.36666666666666664,0.35333333333333333,-0.1218842188739096,-0.44753846153846155,0.05876923076923077,1.0,exact,4,1.0
keyword_regex_severity,gpt_oss_120b__production,0.32666666666666666,0.35333333333333333,-0.02269310071371927,-0.03977002379064235,-0.006,0.25,exact,4,1.0
keyword_regex_severity,llama3_2_3b__production,0.38333333333333336,0.35333333333333333,0.002615384615384613,-0.05384615384615385,0.05399999999999999,1.0,exact,4,1.0
keyword_regex_severity,qwen3_4b__production,0.3566666666666667,0.35333333333333333,-0.12322759714512292,-0.39384615384615385,0.06123711340206186,0.75,exact,4,1.0
keyword_regex_severity,qwen3_8_27b__production,0.3433333333333333,0.35333333333333333,-0.04584773988897701,-0.1372323552735924,0.05876923076923077,0.5,exact,4,1.0
bge_m3_logreg,gemini_2_5_flash__production,0.35,0.33,0.12103727200634418,-0.0194639175257732,0.34415384615384614,0.5,exact,4,1.0
bge_m3_logreg,gemini_2_5_flash_nothink__production,0.3333333333333333,0.33,0.11057414750198258,-0.04808247422680412,0.34015384615384614,0.625,exact,4,1.0
bge_m3_logreg,gemini_3_5_flash__production,0.32666666666666666,0.33,0.10161300555114988,-0.04292783505154639,0.34015384615384614,0.75,exact,4,1.0
bge_m3_logreg,gemma3_4b__production,0.36666666666666664,0.33,0.004731165741475019,-0.10938461538461539,0.10642347343378272,0.875,exact,4,1.0
bge_m3_logreg,gpt_oss_120b__production,0.32666666666666666,0.33,0.10392228390166536,-0.038309278350515466,0.34099920697858843,0.75,exact,4,1.0
bge_m3_logreg,llama3_2_3b__production,0.38333333333333336,0.33,0.12923076923076923,0.02,0.2984615384615385,0.25,exact,4,1.0
bge_m3_logreg,qwen3_4b__production,0.3566666666666667,0.33,0.0033877874702616974,-0.055692307692307694,0.061855670103092786,0.75,exact,4,1.0
bge_m3_logreg,qwen3_8_27b__production,0.3433333333333333,0.33,0.08076764472640761,-0.06677240285487708,0.278152260111023,0.75,exact,4,1.0
bge_m3_logreg_external,gemini_2_5_flash__production,0.35,0.31333333333333335,0.11553846153846155,0.008,0.2924615384615385,0.25,exact,4,1.0
bge_m3_logreg_external,gemini_2_5_flash_nothink__production,0.3333333333333333,0.31333333333333335,0.10507533703409992,-0.020618556701030927,0.2884615384615385,0.5,exact,4,1.0
bge_m3_logreg_external,gemini_3_5_flash__production,0.32666666666666666,0.31333333333333335,0.09611419508326725,-0.015503568596352102,0.2884615384615385,0.75,exact,4,1.0
bge_m3_logreg_external,gemma3_4b__production,0.36666666666666664,0.31333333333333335,-0.0007676447264076142,-0.1610769230769231,0.11415543219666932,1.0,exact,4,1.0
bge_m3_logreg_external,gpt_oss_120b__production,0.32666666666666666,0.31333333333333335,0.09842347343378273,-0.016307692307692308,0.29103885804916735,0.5,exact,4,1.0
bge_m3_logreg_external,llama3_2_3b__production,0.38333333333333336,0.31333333333333335,0.1237319587628866,0.04627279936558287,0.2467692307692308,0.125,exact,4,1.0
bge_m3_logreg_external,qwen3_4b__production,0.3566666666666667,0.31333333333333335,-0.002111022997620938,-0.10738461538461538,0.08505154639175258,1.0,exact,4,1.0
bge_m3_logreg_external,qwen3_8_27b__production,0.3433333333333333,0.31333333333333335,0.07526883425852497,-0.05130848532910389,0.22819191118160193,0.625,exact,4,1.0
