checkpoint,strategy,source,prompt,repeat,group,1,2,3,4,5,first_offline_hit,offline_hit1,offline_by3,offline_by_last,meets_target
pronostia,agentic,simulator,bearing overheat on metal press,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,bearing overheat on metal press,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,bearing overheat on metal press,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,bearing temperature spike on Machine 1,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,bearing temperature spike on Machine 1,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,bearing temperature spike on Machine 1,2,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,catastrophic bearing failure on Machine 1,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,catastrophic bearing failure on Machine 1,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,catastrophic bearing failure on Machine 1,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,catastrophic failure on paint and coat,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,catastrophic failure on paint and coat,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,catastrophic failure on paint and coat,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,complete motor breakdown on Machine 2,0,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,complete motor breakdown on Machine 2,1,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,complete motor breakdown on Machine 2,2,HIGH,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,coolant flow disruption on Machine 5,0,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
pronostia,agentic,simulator,coolant flow disruption on Machine 5,1,MEDIUM,ONLINE,ONLINE,ONLINE,ONLINE,ONLINE,,False,False,False,0.0
