arm,n,severity_accuracy,high_recall,over_escalation,fallback_rate,p50_latency_ms,p95_latency_ms,mean_input_tokens,mean_output_tokens,usd_per_1000
bge_m3_logreg,270,0.7111111111111111,0.9666666666666667,0.1,0.0,539.7355999884894,734.7961000050418,,,0.0
bge_m3_logreg_indomain,270,0.9,1.0,0.05,0.0,399.8264499969082,502.3464999976568,,,0.0
embedding_severity,270,0.5777777777777777,0.9333333333333333,0.13333333333333333,0.0,38.429850013926625,55.28299999423325,,,0.0
fixed_midrange,270,0.3888888888888889,0.0,0.0,0.0,0.6205499958014116,0.7653999782633036,,,0.0
gemini_2_5_flash__production,270,0.9703703703703703,1.0,0.0,0.0,4532.481551170349,9478.136634826658,1531.6555555555556,755.2296296296296,2.3475707407407405
gemini_2_5_flash__semantic,270,0.9074074074074074,1.0,0.1111111111111111,0.0,4234.272718429565,7650.969278812405,1378.6555555555556,661.674074074074,2.067781851851852
gemini_2_5_flash_nothink__production,270,0.9666666666666667,1.0,0.016666666666666666,0.0,1796.5877056121826,2598.9275574684143,1531.6555555555556,95.29629629629629,0.6977374074074074
gemini_3_5_flash__production,270,0.9888888888888889,1.0,0.0,0.0,4273.171305656433,5915.046179294585,1531.6555555555556,852.8333333333334,9.972983333333334
gemini_3_5_flash__semantic,270,0.9629629629629629,1.0,0.03888888888888889,0.0,3829.1659355163574,5514.803183078766,1378.6555555555556,733.1777777777778,8.666583333333334
gemma3_4b__production,270,0.4777777777777778,1.0,0.5,0.0,16895.0092792511,19144.551491737366,1666.6555555555556,81.41111111111111,0.0
gpt_oss_120b__production,270,0.9333333333333333,0.9222222222222223,0.0,0.0,1458.5835933685303,3003.361701965332,1697.0,429.5851851851852,0.5123011111111111
gpt_oss_120b__semantic,270,0.8851851851851852,1.0,0.15,0.0,1295.129895210266,3201.6190886497475,1546.3703703703704,348.3740740740741,0.44098
keyword_only,270,0.36666666666666664,1.0,0.9,0.0,0.5495999939739704,1.2492999958340079,,,0.0
keyword_regex_extended,270,0.5444444444444444,0.3,0.0,0.0,1.020700015942566,1.6325999749824405,,,0.0
keyword_regex_severity,270,0.5,0.16666666666666666,0.0,0.0,0.7051499997032806,1.438800012692809,,,0.0
llama3_2_3b__production,270,0.6666666666666666,1.0,0.21666666666666667,0.0,11281.837463378906,12427.970600128174,1628.4333333333334,68.05925925925926,0.0
minilm_finetuned,270,0.5555555555555556,0.8,0.4,0.0,33.737600009771995,49.96080001001246,,,0.0
minilm_finetuned_indomain,270,0.8111111111111111,0.9,0.06666666666666667,0.0,44.888050004374236,103.96020000916906,,,0.0
minilm_logreg,270,0.6111111111111112,0.8333333333333334,0.1,0.0,36.480650000157766,52.959400025429204,,,0.0
minilm_logreg_indomain,270,0.6333333333333333,0.9,0.08333333333333333,0.0,24.56210000673309,51.18959999526851,,,0.0
qwen3_4b__production,270,0.6111111111111112,1.0,0.23333333333333334,0.0,7118.464708328247,7446.719551086426,1662.5222222222221,89.87407407407407,0.0
qwen3_8_27b__production,270,1.0,1.0,0.0,0.0,474.99239444732666,823.8006711006161,1727.1888888888889,92.47777777777777,1.7516622222222222
qwen3_8_27b__semantic,270,0.9,1.0,0.13333333333333333,0.0,476.20832920074463,884.7965955734252,1562.1888888888889,95.93703703703704,1.6334992592592594
tfidf_logreg,270,0.5222222222222223,0.5666666666666667,0.25,0.0,5.012500012526289,6.147300009615719,,,0.0
tfidf_logreg_indomain,270,0.8555555555555555,0.9666666666666667,0.06666666666666667,0.0,5.0068499986082315,7.438900007400662,,,0.0
