reference,arm,arm_accuracy,reference_accuracy,diff,ci_lo,ci_hi,p,p_method,n_groups,p_holm
bge_m3_logreg,gemini_2_5_flash__production,0.9629629629629629,0.6666666666666666,0.29629629629629634,0.11574074074074073,0.5,0.0078125,exact,18,0.1171875
bge_m3_logreg,gemini_2_5_flash_nothink__production,0.9583333333333334,0.6666666666666666,0.2916666666666667,0.08333333333333333,0.5138888888888888,0.03125,exact,18,0.28125
bge_m3_logreg,gemini_3_5_flash__production,0.9861111111111112,0.6666666666666666,0.3194444444444444,0.1388888888888889,0.514236111111106,0.0078125,exact,18,0.1171875
bge_m3_logreg,gemma3_4b__production,0.4583333333333333,0.6666666666666666,-0.20833333333333334,-0.3888888888888889,-0.05555555555555555,0.0390625,exact,18,0.28125
bge_m3_logreg,gpt_oss_120b__production,0.9166666666666666,0.6666666666666666,0.25,0.041666666666666664,0.47233796296296127,0.0458984375,exact,18,0.28125
bge_m3_logreg,llama3_2_3b__production,0.6527777777777778,0.6666666666666666,-0.013888888888888888,-0.2777777777777778,0.2361111111111111,1.0,exact,18,1.0
bge_m3_logreg,qwen3_4b__production,0.5972222222222222,0.6666666666666666,-0.06944444444444445,-0.3611111111111111,0.2222222222222222,0.71923828125,exact,18,1.0
bge_m3_logreg,qwen3_8_27b__production,1.0,0.6666666666666666,0.3333333333333333,0.1388888888888889,0.5416666666666666,0.0078125,exact,18,0.1171875
bge_m3_logreg_indomain,gemini_2_5_flash__production,0.9629629629629629,0.8888888888888888,0.07407407407407407,0.004629629629629626,0.1527777777777778,0.109375,exact,18,0.546875
bge_m3_logreg_indomain,gemini_2_5_flash_nothink__production,0.9583333333333334,0.8888888888888888,0.06944444444444445,0.0,0.1388888888888889,0.125,exact,18,0.546875
bge_m3_logreg_indomain,gemini_3_5_flash__production,0.9861111111111112,0.8888888888888888,0.09722222222222222,0.041666666666666664,0.16666666666666666,0.03125,exact,18,0.28125
bge_m3_logreg_indomain,gemma3_4b__production,0.4583333333333333,0.8888888888888888,-0.4305555555555556,-0.6111111111111112,-0.2638888888888889,0.00048828125,exact,18,0.0078125
bge_m3_logreg_indomain,gpt_oss_120b__production,0.9166666666666666,0.8888888888888888,0.027777777777777776,-0.046296296296296294,0.09722222222222222,0.5703125,exact,18,1.0
bge_m3_logreg_indomain,llama3_2_3b__production,0.6527777777777778,0.8888888888888888,-0.2361111111111111,-0.4027777777777778,-0.08333333333333333,0.01953125,exact,18,0.1953125
bge_m3_logreg_indomain,qwen3_4b__production,0.5972222222222222,0.8888888888888888,-0.2916666666666667,-0.4583333333333333,-0.125,0.0078125,exact,18,0.1171875
bge_m3_logreg_indomain,qwen3_8_27b__production,1.0,0.8888888888888888,0.1111111111111111,0.041666666666666664,0.18055555555555555,0.015625,exact,18,0.171875
