arm,checkpoint,scope,own,common,diff,ci_lo,ci_hi,p,p_method,n_groups
bge_m3_logreg,simulator,all,0.9185185185185185,0.9185185185185185,0.0,0.0,0.0,1.0,exact,18
bge_m3_logreg,simulator_calibrated,all,0.9222222222222223,0.9222222222222223,0.0,0.0,0.0,1.0,exact,18
bge_m3_logreg,turbofan,all,0.9222222222222223,0.9222222222222223,0.0,0.0,0.0,1.0,exact,18
bge_m3_logreg_indomain,simulator,all,0.9629629629629629,0.9629629629629629,0.0,0.0,0.0,1.0,exact,18
bge_m3_logreg_indomain,simulator_calibrated,all,0.9629629629629629,0.9629629629629629,0.0,0.0,0.0,1.0,exact,18
bge_m3_logreg_indomain,turbofan,all,0.9666666666666667,0.9666666666666667,0.0,0.0,0.0,1.0,exact,18
embedding_severity,simulator,all,0.8851851851851852,0.8851851851851852,0.0,0.0,0.0,1.0,exact,18
embedding_severity,simulator_calibrated,all,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,1.0,exact,18
embedding_severity,turbofan,all,0.9,0.9,0.0,0.0,0.0,1.0,exact,18
fixed_midrange,simulator,all,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,exact,18
fixed_midrange,simulator_calibrated,all,0.6333333333333333,0.6592592592592592,0.025925925925925925,0.003703703703703704,0.05555555555555555,0.125,exact,18
fixed_midrange,turbofan,all,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,exact,18
gemini_2_5_flash__production,simulator,all,0.8148148148148148,0.9962962962962963,0.18148148148148147,0.04444444444444444,0.3518518518518518,0.03125,exact,18
gemini_2_5_flash__production,simulator_calibrated,all,0.9740740740740741,0.9962962962962963,0.022222222222222223,0.0,0.05185185185185185,0.25,exact,18
gemini_2_5_flash__production,turbofan,all,0.9592592592592593,1.0,0.040740740740740744,0.0,0.0962962962962963,0.25,exact,18
gemini_2_5_flash__semantic,simulator,all,0.762962962962963,0.9222222222222223,0.15925925925925927,0.02962962962962963,0.32592592592592595,0.0625,exact,18
gemini_2_5_flash__semantic,simulator_calibrated,all,0.9074074074074074,0.9222222222222223,0.014814814814814815,0.0,0.03333333333333333,0.25,exact,18
gemini_2_5_flash__semantic,turbofan,all,0.8407407407407408,0.9259259259259259,0.08518518518518518,0.011111111111111112,0.2074074074074074,0.125,exact,18
gemini_2_5_flash_nothink__production,simulator,all,0.8592592592592593,0.9851851851851852,0.1259259259259259,0.003703703703703705,0.29259259259259257,0.125,exact,18
gemini_2_5_flash_nothink__production,simulator_calibrated,all,0.9592592592592593,0.9851851851851852,0.025925925925925925,0.0,0.05555555555555555,0.25,exact,18
gemini_2_5_flash_nothink__production,turbofan,all,0.9555555555555556,0.9888888888888889,0.03333333333333333,0.0,0.08518518518518518,0.25,exact,18
gemini_3_5_flash__production,simulator,all,0.8185185185185185,0.9962962962962963,0.17777777777777778,0.037037037037037035,0.35185185185185186,0.0625,exact,18
gemini_3_5_flash__production,simulator_calibrated,all,0.9703703703703703,0.9962962962962963,0.025925925925925925,0.0,0.05555555555555555,0.25,exact,18
gemini_3_5_flash__production,turbofan,all,0.9518518518518518,1.0,0.04814814814814814,0.0,0.1222222222222222,0.25,exact,18
gemini_3_5_flash__semantic,simulator,all,0.7888888888888889,0.9703703703703703,0.1814814814814815,0.025925925925925925,0.3592592592592593,0.0625,exact,18
gemini_3_5_flash__semantic,simulator_calibrated,all,0.9444444444444444,0.9703703703703703,0.025925925925925925,0.0,0.05555555555555555,0.25,exact,18
gemini_3_5_flash__semantic,turbofan,all,0.9037037037037037,0.9740740740740741,0.07037037037037036,0.0,0.18157407407407275,0.25,exact,18
gemma3_4b__production,simulator,all,0.45555555555555555,0.662962962962963,0.2074074074074074,0.044444444444444446,0.4148148148148148,0.125,exact,18
gemma3_4b__production,simulator_calibrated,all,0.6444444444444445,0.6666666666666666,0.022222222222222223,-0.014814814814814815,0.07037037037037036,0.5,exact,18
gemma3_4b__production,turbofan,all,0.6703703703703704,0.6888888888888889,0.018518518518518514,-0.05925925925925926,0.1074074074074074,0.625,exact,18
gpt_oss_120b__production,simulator,all,0.8333333333333334,0.9703703703703703,0.13703703703703704,0.007407407407407408,0.3037037037037037,0.125,exact,18
gpt_oss_120b__production,simulator_calibrated,all,0.9629629629629629,0.9703703703703703,0.007407407407407408,0.0,0.018518518518518517,0.5,exact,18
gpt_oss_120b__production,turbofan,all,0.9518518518518518,0.9740740740740741,0.022222222222222223,0.0,0.05185185185185185,0.25,exact,18
gpt_oss_120b__semantic,simulator,all,0.725925925925926,0.8962962962962963,0.17037037037037037,0.037037037037037035,0.34074074074074073,0.0625,exact,18
gpt_oss_120b__semantic,simulator_calibrated,all,0.8962962962962963,0.8962962962962963,0.0,0.0,0.0,1.0,exact,18
gpt_oss_120b__semantic,turbofan,all,0.8740740740740741,0.9,0.025925925925925925,0.003703703703703704,0.05555555555555555,0.125,exact,18
keyword_only,simulator,all,0.362962962962963,0.3962962962962963,0.03333333333333333,0.0,0.08518518518518518,0.5,exact,18
keyword_only,simulator_calibrated,all,0.4,0.4,0.0,0.0,0.0,1.0,exact,18
keyword_only,turbofan,all,0.4,0.4,0.0,0.0,0.0,1.0,exact,18
keyword_regex_extended,simulator,all,0.762962962962963,0.762962962962963,0.0,0.0,0.0,1.0,exact,18
keyword_regex_extended,simulator_calibrated,all,0.7592592592592593,0.7592592592592593,0.0,0.0,0.0,1.0,exact,18
keyword_regex_extended,turbofan,all,0.7666666666666667,0.7666666666666667,0.0,0.0,0.0,1.0,exact,18
keyword_regex_severity,simulator,all,0.7222222222222222,0.7222222222222222,0.0,0.0,0.0,1.0,exact,18
keyword_regex_severity,simulator_calibrated,all,0.7148148148148148,0.7148148148148148,0.0,0.0,0.0,1.0,exact,18
keyword_regex_severity,turbofan,all,0.7222222222222222,0.7222222222222222,0.0,0.0,0.0,1.0,exact,18
llama3_2_3b__production,simulator,all,0.6111111111111112,0.8518518518518519,0.24074074074074073,0.07407407407407407,0.437037037037037,0.03125,exact,18
llama3_2_3b__production,simulator_calibrated,all,0.8074074074074075,0.8518518518518519,0.044444444444444446,0.007407407407407408,0.0962962962962963,0.09375,exact,18
llama3_2_3b__production,turbofan,all,0.8518518518518519,0.8777777777777778,0.025925925925925925,0.0,0.07407407407407408,0.5,exact,18
minilm_finetuned,simulator,all,0.662962962962963,0.662962962962963,0.0,0.0,0.0,1.0,exact,18
minilm_finetuned,simulator_calibrated,all,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,exact,18
minilm_finetuned,turbofan,all,0.7,0.7,0.0,0.0,0.0,1.0,exact,18
minilm_finetuned_indomain,simulator,all,0.9185185185185185,0.9185185185185185,0.0,0.0,0.0,1.0,exact,18
minilm_finetuned_indomain,simulator_calibrated,all,0.9185185185185185,0.9185185185185185,0.0,0.0,0.0,1.0,exact,18
minilm_finetuned_indomain,turbofan,all,0.9222222222222223,0.9222222222222223,0.0,0.0,0.0,1.0,exact,18
minilm_logreg,simulator,all,0.8740740740740741,0.8740740740740741,0.0,0.0,0.0,1.0,exact,18
minilm_logreg,simulator_calibrated,all,0.8777777777777778,0.8777777777777778,0.0,0.0,0.0,1.0,exact,18
minilm_logreg,turbofan,all,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,1.0,exact,18
minilm_logreg_indomain,simulator,all,0.9074074074074074,0.9074074074074074,0.0,0.0,0.0,1.0,exact,18
minilm_logreg_indomain,simulator_calibrated,all,0.9074074074074074,0.9074074074074074,0.0,0.0,0.0,1.0,exact,18
minilm_logreg_indomain,turbofan,all,0.9111111111111111,0.9111111111111111,0.0,0.0,0.0,1.0,exact,18
qwen3_4b__production,simulator,all,0.6148148148148148,0.8407407407407408,0.22592592592592592,0.07037037037037036,0.4148148148148148,0.0625,exact,18
qwen3_4b__production,simulator_calibrated,all,0.7555555555555555,0.837037037037037,0.08148148148148147,0.01851851851851852,0.15925925925925924,0.0390625,exact,18
