arm,metric,original,rewrites,diff,ci_lo,ci_hi,p,p_method,n_groups
bge_m3_logreg,severity accuracy,0.8888888888888888,0.6666666666666666,-0.2222222222222222,-0.4027777777777778,-0.06944444444444445,0.03125,exact,18
bge_m3_logreg,status turbofan,0.9444444444444444,0.9166666666666666,-0.027777777777777776,-0.1388888888888889,0.125,0.875,exact,18
bge_m3_logreg,status simulator,0.9444444444444444,0.9120370370370369,-0.03240740740740741,-0.14814814814814817,0.12037037037037036,0.75,exact,18
bge_m3_logreg,status simulator_calibrated,0.9444444444444444,0.9166666666666666,-0.027777777777777776,-0.1388888888888889,0.125,0.875,exact,18
bge_m3_logreg_indomain,severity accuracy,0.9444444444444444,0.8888888888888888,-0.05555555555555555,-0.16666666666666666,0.06944444444444445,0.515625,exact,18
bge_m3_logreg_indomain,status turbofan,0.9444444444444444,0.9722222222222222,0.027777777777777776,-0.05555555555555555,0.1527777777777778,1.0,exact,18
bge_m3_logreg_indomain,status simulator,0.9444444444444444,0.9675925925925924,0.023148148148148147,-0.06481481481481483,0.1527777777777778,1.0,exact,18
bge_m3_logreg_indomain,status simulator_calibrated,0.9444444444444444,0.9675925925925924,0.023148148148148147,-0.05555555555555555,0.1388888888888889,1.0,exact,18
embedding_severity,severity accuracy,0.7222222222222222,0.5416666666666666,-0.18055555555555555,-0.3333333333333333,-0.041666666666666664,0.0390625,exact,18
embedding_severity,status turbofan,1.0,0.875,-0.125,-0.2638888888888889,-0.027777777777777776,0.0625,exact,18
embedding_severity,status simulator,1.0,0.8564814814814815,-0.1435185185185185,-0.2777777777777778,-0.041666666666666664,0.03125,exact,18
embedding_severity,status simulator_calibrated,1.0,0.8611111111111112,-0.1388888888888889,-0.2777777777777778,-0.041666666666666664,0.03125,exact,18
fixed_midrange,severity accuracy,0.3888888888888889,0.3888888888888889,0.0,0.0,0.0,1.0,exact,18
fixed_midrange,status turbofan,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,exact,18
fixed_midrange,status simulator,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,exact,18
fixed_midrange,status simulator_calibrated,0.6666666666666666,0.625,-0.04166666666666667,-0.07870370370370369,-0.013888888888888895,0.03125,exact,18
gemini_2_5_flash__production,severity accuracy,1.0,0.9629629629629631,-0.037037037037037035,-0.10185185185185183,0.0,0.5,exact,18
gemini_2_5_flash__production,status turbofan,0.9814814814814814,0.9537037037037036,-0.027777777777777776,-0.09722222222222222,0.027777777777777776,0.75,exact,18
gemini_2_5_flash__production,status simulator,0.8888888888888888,0.7962962962962963,-0.09259259259259259,-0.2037037037037037,-0.009259259259259257,0.125,exact,18
gemini_2_5_flash__production,status simulator_calibrated,0.9444444444444444,0.9814814814814814,0.037037037037037035,-0.027777777777777776,0.12037037037037036,0.5,exact,18
gemini_2_5_flash__semantic,severity accuracy,0.7407407407407407,0.9490740740740742,0.20833333333333334,0.03240740740740741,0.4027777777777778,0.0625,exact,18
gemini_2_5_flash__semantic,status turbofan,0.7222222222222222,0.8703703703703703,0.14814814814814817,-0.013888888888888888,0.3287037037037037,0.140625,exact,18
gemini_2_5_flash__semantic,status simulator,0.6481481481481481,0.7916666666666667,0.14351851851851852,-0.03703703703703702,0.33333333333333337,0.1796875,exact,18
gemini_2_5_flash__semantic,status simulator_calibrated,0.7962962962962963,0.9351851851851851,0.1388888888888889,0.004629629629629632,0.2916666666666667,0.125,exact,18
gemini_2_5_flash_nothink__production,severity accuracy,1.0,0.9583333333333334,-0.041666666666666664,-0.08333333333333333,0.0,0.25,exact,18
gemini_2_5_flash_nothink__production,status turbofan,0.9814814814814814,0.949074074074074,-0.03240740740740741,-0.10185185185185186,0.027777777777777776,0.5,exact,18
gemini_2_5_flash_nothink__production,status simulator,0.8888888888888888,0.8518518518518519,-0.037037037037037035,-0.07870370370370369,0.0,0.25,exact,18
gemini_2_5_flash_nothink__production,status simulator_calibrated,0.9444444444444444,0.9629629629629629,0.018518518518518517,-0.027777777777777776,0.07407407407407407,0.75,exact,18
gemini_3_5_flash__production,severity accuracy,1.0,0.9861111111111112,-0.013888888888888888,-0.041666666666666664,0.0,1.0,exact,18
gemini_3_5_flash__production,status turbofan,0.9814814814814814,0.9444444444444444,-0.037037037037037035,-0.13425925925925924,0.03240740740740741,0.75,exact,18
gemini_3_5_flash__production,status simulator,0.8888888888888888,0.8009259259259259,-0.08796296296296297,-0.20370370370370372,0.0,0.25,exact,18
gemini_3_5_flash__production,status simulator_calibrated,0.9444444444444444,0.9768518518518517,0.032407407407407406,-0.027777777777777776,0.1111111111111111,0.75,exact,18
