reference,arm,metric,diff,ci_lo,ci_hi,p,p_method,n_groups,p_holm
keyword_regex_severity,gemini_2_5_flash__production,severity accuracy,0.4703703703703704,0.26666666666666666,0.6666666666666669,0.0009765625,exact,18,0.08984375
keyword_regex_severity,gemini_2_5_flash__production,status turbofan,0.23703703703703707,0.08888888888888889,0.40740740740740744,0.03125,exact,18,1.0
keyword_regex_severity,gemini_2_5_flash__production,status simulator,0.0925925925925926,-0.011111111111111112,0.21851851851851853,0.1875,exact,18,1.0
keyword_regex_severity,gemini_2_5_flash__production,status simulator_calibrated,0.2592592592592593,0.07407407407407408,0.4592592592592593,0.029296875,exact,18,1.0
keyword_regex_severity,gemini_2_5_flash__semantic,severity accuracy,0.4074074074074074,0.17398148148148154,0.6296296296296297,0.005218505859375,exact,18,0.41748046875
keyword_regex_severity,gemini_2_5_flash__semantic,status turbofan,0.11851851851851852,-0.05555555555555558,0.31481481481481477,0.2568359375,exact,18,1.0
keyword_regex_severity,gemini_2_5_flash__semantic,status simulator,0.04074074074074073,-0.1037037037037037,0.2037037037037037,0.6650390625,exact,18,1.0
keyword_regex_severity,gemini_2_5_flash__semantic,status simulator_calibrated,0.1925925925925926,-0.022222222222222216,0.4222222222222223,0.121337890625,exact,18,1.0
keyword_regex_severity,gemini_2_5_flash_nothink__production,severity accuracy,0.4666666666666667,0.2777777777777778,0.6555555555555556,0.0009765625,exact,18,0.08984375
keyword_regex_severity,gemini_2_5_flash_nothink__production,status turbofan,0.23333333333333328,0.07407407407407407,0.4148148148148148,0.03125,exact,18,1.0
keyword_regex_severity,gemini_2_5_flash_nothink__production,status simulator,0.13703703703703704,-0.0074074074074074025,0.3037037037037037,0.125,exact,18,1.0
keyword_regex_severity,gemini_2_5_flash_nothink__production,status simulator_calibrated,0.24444444444444446,0.05185185185185186,0.45185185185185195,0.029296875,exact,18,1.0
keyword_regex_severity,gemini_3_5_flash__production,severity accuracy,0.48888888888888893,0.2888888888888889,0.6777777777777779,0.0009765625,exact,18,0.08984375
keyword_regex_severity,gemini_3_5_flash__production,status turbofan,0.22962962962962966,0.08148148148148149,0.40370370370370373,0.03125,exact,18,1.0
keyword_regex_severity,gemini_3_5_flash__production,status simulator,0.0962962962962963,-0.011111111111111113,0.23333333333333334,0.21875,exact,18,1.0
keyword_regex_severity,gemini_3_5_flash__production,status simulator_calibrated,0.25555555555555554,0.07037037037037037,0.4592592592592593,0.029296875,exact,18,1.0
keyword_regex_severity,gemini_3_5_flash__semantic,severity accuracy,0.4629629629629631,0.24814814814814815,0.6666666666666667,0.0009765625,exact,18,0.08984375
keyword_regex_severity,gemini_3_5_flash__semantic,status turbofan,0.1814814814814815,0.022222222222222216,0.3666666666666667,0.06640625,exact,18,1.0
keyword_regex_severity,gemini_3_5_flash__semantic,status simulator,0.06666666666666667,-0.05925925925925926,0.2185185185185185,0.37890625,exact,18,1.0
keyword_regex_severity,gemini_3_5_flash__semantic,status simulator_calibrated,0.2296296296296296,0.033333333333333354,0.4407407407407408,0.04296875,exact,18,1.0
keyword_regex_severity,gemma3_4b__production,severity accuracy,-0.022222222222222233,-0.3666666666666667,0.3222222222222222,0.9520263671875,exact,18,1.0
keyword_regex_severity,gemma3_4b__production,status turbofan,-0.051851851851851864,-0.36296296296296293,0.2592592592592593,0.75439453125,exact,18,1.0
keyword_regex_severity,gemma3_4b__production,status simulator,-0.26666666666666666,-0.5222222222222223,-0.0111111111111111,0.072265625,exact,18,1.0
keyword_regex_severity,gemma3_4b__production,status simulator_calibrated,-0.07037037037037036,-0.39629629629629626,0.2592592592592593,0.69256591796875,exact,18,1.0
keyword_regex_severity,gpt_oss_120b__production,severity accuracy,0.43333333333333335,0.24814814814814815,0.6148148148148148,0.0009765625,exact,18,0.08984375
keyword_regex_severity,gpt_oss_120b__production,status turbofan,0.2296296296296296,0.08148148148148149,0.3925925925925926,0.03125,exact,18,1.0
keyword_regex_severity,gpt_oss_120b__production,status simulator,0.1111111111111111,0.003703703703703703,0.2444444444444444,0.125,exact,18,1.0
keyword_regex_severity,gpt_oss_120b__production,status simulator_calibrated,0.24814814814814815,0.0851851851851852,0.4296296296296297,0.02734375,exact,18,1.0
