reference,arm,arm_accuracy,reference_accuracy,diff,ci_lo,ci_hi,p,p_method,n_groups,p_holm
keyword_regex_severity,gemini_2_5_flash__production,0.9629629629629629,0.3888888888888889,0.5740740740740741,0.3240740740740741,0.8148148148148149,0.0009765625,exact,18,0.0068359375
keyword_regex_severity,gemini_2_5_flash_nothink__production,0.9583333333333334,0.3888888888888889,0.5694444444444444,0.3333333333333333,0.7916666666666666,0.0009765625,exact,18,0.0068359375
keyword_regex_severity,gemini_3_5_flash__production,0.9861111111111112,0.3888888888888889,0.5972222222222222,0.3611111111111111,0.8333333333333334,0.0009765625,exact,18,0.0068359375
keyword_regex_severity,gpt_oss_120b__production,0.9166666666666666,0.3888888888888889,0.5277777777777778,0.3055555555555556,0.7453703703703703,0.0009765625,exact,18,0.0068359375
keyword_regex_severity,qwen3_8_27b__production,1.0,0.3888888888888889,0.6111111111111112,0.3888888888888889,0.8333333333333334,0.0009765625,exact,18,0.0068359375
embedding_severity,gemini_2_5_flash__production,0.9629629629629629,0.5416666666666666,0.42129629629629634,0.2361111111111111,0.6111111111111112,0.00048828125,exact,18,0.0048828125
embedding_severity,gemini_2_5_flash_nothink__production,0.9583333333333334,0.5416666666666666,0.4166666666666667,0.2222222222222222,0.6111111111111112,0.00146484375,exact,18,0.0068359375
embedding_severity,gemini_3_5_flash__production,0.9861111111111112,0.5416666666666666,0.4444444444444444,0.2638888888888889,0.625,0.00048828125,exact,18,0.0048828125
embedding_severity,gpt_oss_120b__production,0.9166666666666666,0.5416666666666666,0.375,0.17592592592592593,0.5741898148148131,0.0029296875,exact,18,0.0068359375
embedding_severity,qwen3_8_27b__production,1.0,0.5416666666666666,0.4583333333333333,0.2774305555555559,0.6527777777777778,0.00048828125,exact,18,0.0048828125
