arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens,replicated
llama3_2_3b__production,T01-typo25-v1,mnior bearing wobble on Machine 1,0,Xs2,LOW,0.53,[llama3.2:3b] Bearing wobble detected on Machine 1 — minor vibration anomaly,False,1,11365.859031677246,1622,72,False
llama3_2_3b__production,T01-typo25-v1,mnior bearing wobble on Machine 1,1,Xs2,LOW,0.53,[llama3.2:3b] Bearing wobble detected on Machine 1 — minor vibration anomaly,False,1,11365.859031677246,1622,72,True
llama3_2_3b__production,T01-typo25-v1,mnior bearing wobble on Machine 1,2,Xs2,LOW,0.53,[llama3.2:3b] Bearing wobble detected on Machine 1 — minor vibration anomaly,False,1,11365.859031677246,1622,72,True
llama3_2_3b__production,T01-typo25-v2,minor bearing woblbe on Machine 1,0,Xs2,LOW,0.52,[llama3.2:3b] Minor bearing vibration detected on Machine 1,False,1,11119.211673736572,1622,73,False
llama3_2_3b__production,T01-typo25-v2,minor bearing woblbe on Machine 1,1,Xs2,LOW,0.52,[llama3.2:3b] Minor bearing vibration detected on Machine 1,False,1,11119.211673736572,1622,73,True
llama3_2_3b__production,T01-typo25-v2,minor bearing woblbe on Machine 1,2,Xs2,LOW,0.52,[llama3.2:3b] Minor bearing vibration detected on Machine 1,False,1,11119.211673736572,1622,73,True
llama3_2_3b__production,T01-typo25-v3,minor bearing wboble on Machine 1,0,Xs2,LOW,0.52,[llama3.2:3b] Bearing vibration sensor Xs2 showing slight fluctuation — possible minor bearing issue.,False,1,11249.785423278809,1621,75,False
llama3_2_3b__production,T01-typo25-v3,minor bearing wboble on Machine 1,1,Xs2,LOW,0.52,[llama3.2:3b] Bearing vibration sensor Xs2 showing slight fluctuation — possible minor bearing issue.,False,1,11249.785423278809,1621,75,True
llama3_2_3b__production,T01-typo25-v3,minor bearing wboble on Machine 1,2,Xs2,LOW,0.52,[llama3.2:3b] Bearing vibration sensor Xs2 showing slight fluctuation — possible minor bearing issue.,False,1,11249.785423278809,1621,75,True
llama3_2_3b__production,T01-typo50-v1,minr beraing wobble on Machine 1,0,Xs2,MEDIUM,0.73,[llama3.2:3b] Bearing temperature sensor Xs2 showing slight fluctuation — possible minor bearing wobble,False,1,12444.666385650635,1624,81,False
llama3_2_3b__production,T01-typo50-v1,minr beraing wobble on Machine 1,1,Xs2,MEDIUM,0.73,[llama3.2:3b] Bearing temperature sensor Xs2 showing slight fluctuation — possible minor bearing wobble,False,1,12444.666385650635,1624,81,True
llama3_2_3b__production,T01-typo50-v1,minr beraing wobble on Machine 1,2,Xs2,MEDIUM,0.73,[llama3.2:3b] Bearing temperature sensor Xs2 showing slight fluctuation — possible minor bearing wobble,False,1,12444.666385650635,1624,81,True
llama3_2_3b__production,T01-typo50-v2,mnor bewaring wobble on Machine 1,0,Xs0,LOW,0.53,[llama3.2:3b] Vibration sensor Xs0 showing slight wobble — possible imbalance or wear on Machine 1,False,1,12984.111785888672,1623,84,False
llama3_2_3b__production,T01-typo50-v2,mnor bewaring wobble on Machine 1,1,Xs0,LOW,0.53,[llama3.2:3b] Vibration sensor Xs0 showing slight wobble — possible imbalance or wear on Machine 1,False,1,12984.111785888672,1623,84,True
llama3_2_3b__production,T01-typo50-v2,mnor bewaring wobble on Machine 1,2,Xs0,LOW,0.53,[llama3.2:3b] Vibration sensor Xs0 showing slight wobble — possible imbalance or wear on Machine 1,False,1,12984.111785888672,1623,84,True
llama3_2_3b__production,T01-typo50-v3,minor bearig wqobble on Machine 1,0,Xs2,LOW,0.53,[llama3.2:3b] Minor bearing vibration detected on Machine 1,False,1,10796.429634094238,1623,71,False
llama3_2_3b__production,T01-typo50-v3,minor bearig wqobble on Machine 1,1,Xs2,LOW,0.53,[llama3.2:3b] Minor bearing vibration detected on Machine 1,False,1,10796.429634094238,1623,71,True
