arm,n,severity_accuracy,high_recall,over_escalation,fallback_rate,p50_latency_ms,p95_latency_ms,mean_input_tokens,mean_output_tokens,usd_per_1000
bge_m3_logreg,126,0.6666666666666666,0.9285714285714286,0.14285714285714285,0.0,579.4217499933438,671.4603000145871,,,0.0
bge_m3_logreg_indomain,126,0.7857142857142857,0.8571428571428571,0.03571428571428571,0.0,481.9621000060579,593.7204000074416,,,0.0
embedding_severity,126,0.5476190476190477,0.6428571428571429,0.17857142857142858,0.0,40.40739999618381,48.123000015039,,,0.0
fixed_midrange,126,0.3333333333333333,0.0,0.0,0.0,0.5238000012468547,0.728400016669184,,,0.0
gemini_2_5_flash__production,126,0.9206349206349206,1.0,0.023809523809523808,0.0,4542.967677116394,8908.17803144455,,,
gemini_2_5_flash__semantic,126,0.9444444444444444,1.0,0.08333333333333333,0.0,3962.9112482070923,6733.2223653793335,,,
gemini_2_5_flash_nothink__production,126,0.8888888888888888,1.0,0.0,0.0,1778.4349918365479,2302.203953266144,1532.3095238095239,97.48412698412699,0.7034031746031747
gemini_3_5_flash__production,126,0.9603174603174603,0.9523809523809523,0.0,0.0,4697.793364524841,6826.3667821884155,,,
gemini_3_5_flash__semantic,126,1.0,1.0,0.0,0.0,3759.3830823898315,5306.234061717987,,,
gemma3_4b__production,126,0.40476190476190477,1.0,0.4642857142857143,0.0,16895.0092792511,19144.551491737366,1667.3095238095239,84.47619047619048,0.0
gpt_oss_120b__production,126,0.7301587301587301,0.5952380952380952,0.0,0.0,1575.9806632995605,3527.9955863952637,,,
gpt_oss_120b__semantic,126,0.9126984126984127,1.0,0.08333333333333333,0.0,1360.4521751403809,2547.0550656318665,,,
keyword_only,126,0.3333333333333333,0.9285714285714286,0.9285714285714286,0.0,0.567900002351962,1.0118999925907701,,,0.0
keyword_regex_extended,126,0.38095238095238093,0.21428571428571427,0.14285714285714285,0.0,1.12085000728257,1.6968999989330769,,,0.0
keyword_regex_severity,126,0.2857142857142857,0.0,0.14285714285714285,0.0,0.7085500110406429,1.1884999985340983,,,0.0
llama3_2_3b__production,126,0.6428571428571429,0.9285714285714286,0.03571428571428571,0.0,11281.837463378906,12427.970600128174,1628.8333333333333,71.52380952380952,0.0
minilm_finetuned,126,0.47619047619047616,0.7857142857142857,0.42857142857142855,0.0,28.551600014907308,39.066400000592694,,,0.0
minilm_finetuned_indomain,126,0.7142857142857143,0.7142857142857143,0.10714285714285714,0.0,38.24275000079069,53.482300019823015,,,0.0
minilm_logreg,126,0.5476190476190477,0.7857142857142857,0.17857142857142858,0.0,37.342449999414384,46.1059000226669,,,0.0
minilm_logreg_indomain,126,0.7619047619047619,0.7857142857142857,0.10714285714285714,0.0,43.97294999216683,58.78910000319593,,,0.0
qwen3_4b__production,126,0.5714285714285714,1.0,0.17857142857142858,0.0,7118.464708328247,7446.719551086426,1662.904761904762,90.85714285714286,0.0
qwen3_8_27b__production,126,1.0,1.0,0.0,0.0,458.429217338562,543.9653396606445,,,
qwen3_8_27b__semantic,126,0.9761904761904762,1.0,0.0,0.0,454.6661376953125,804.7887086868286,,,
tfidf_logreg,126,0.42857142857142855,0.42857142857142855,0.25,0.0,5.09375000547152,6.786100013414398,,,0.0
tfidf_logreg_indomain,126,0.6904761904761905,0.7142857142857143,0.14285714285714285,0.0,5.658599999151193,9.457499982090669,,,0.0
