arm,checkpoint,style,status_match,n
bge_m3_logreg,pronostia,codemixed,0.6666666666666666,18
bge_m3_logreg,pronostia,consequence,0.625,24
bge_m3_logreg,pronostia,jargon,0.625,24
bge_m3_logreg,pronostia,negation,0.6666666666666666,18
bge_m3_logreg,pronostia,quantitative,0.6666666666666666,18
bge_m3_logreg,pronostia,terse,0.6666666666666666,9
bge_m3_logreg,pronostia,understated,0.8,15
bge_m3_logreg,simulator,codemixed,0.6666666666666666,18
bge_m3_logreg,simulator,consequence,1.0,24
bge_m3_logreg,simulator,jargon,1.0,24
bge_m3_logreg,simulator,negation,0.6666666666666666,18
bge_m3_logreg,simulator,quantitative,0.6666666666666666,18
bge_m3_logreg,simulator,terse,1.0,9
bge_m3_logreg,simulator,understated,1.0,15
bge_m3_logreg,simulator_calibrated,codemixed,0.6666666666666666,18
bge_m3_logreg,simulator_calibrated,consequence,1.0,24
bge_m3_logreg,simulator_calibrated,jargon,1.0,24
bge_m3_logreg,simulator_calibrated,negation,0.6666666666666666,18
bge_m3_logreg,simulator_calibrated,quantitative,0.7777777777777778,18
bge_m3_logreg,simulator_calibrated,terse,1.0,9
bge_m3_logreg,simulator_calibrated,understated,1.0,15
bge_m3_logreg,turbofan,codemixed,0.6666666666666666,18
bge_m3_logreg,turbofan,consequence,1.0,24
bge_m3_logreg,turbofan,jargon,1.0,24
bge_m3_logreg,turbofan,negation,0.6666666666666666,18
bge_m3_logreg,turbofan,quantitative,0.8333333333333334,18
bge_m3_logreg,turbofan,terse,1.0,9
bge_m3_logreg,turbofan,understated,1.0,15
bge_m3_logreg_indomain,pronostia,codemixed,0.6666666666666666,18
bge_m3_logreg_indomain,pronostia,consequence,0.625,24
bge_m3_logreg_indomain,pronostia,jargon,0.625,24
bge_m3_logreg_indomain,pronostia,negation,0.6666666666666666,18
bge_m3_logreg_indomain,pronostia,quantitative,0.6666666666666666,18
bge_m3_logreg_indomain,pronostia,terse,0.6666666666666666,9
bge_m3_logreg_indomain,pronostia,understated,0.8,15
bge_m3_logreg_indomain,simulator,codemixed,1.0,18
bge_m3_logreg_indomain,simulator,consequence,1.0,24
bge_m3_logreg_indomain,simulator,jargon,1.0,24
bge_m3_logreg_indomain,simulator,negation,0.8333333333333334,18
bge_m3_logreg_indomain,simulator,quantitative,0.6666666666666666,18
bge_m3_logreg_indomain,simulator,terse,1.0,9
bge_m3_logreg_indomain,simulator,understated,0.8,15
bge_m3_logreg_indomain,simulator_calibrated,codemixed,1.0,18
bge_m3_logreg_indomain,simulator_calibrated,consequence,1.0,24
bge_m3_logreg_indomain,simulator_calibrated,jargon,1.0,24
bge_m3_logreg_indomain,simulator_calibrated,negation,0.8333333333333334,18
bge_m3_logreg_indomain,simulator_calibrated,quantitative,0.7777777777777778,18
bge_m3_logreg_indomain,simulator_calibrated,terse,1.0,9
bge_m3_logreg_indomain,simulator_calibrated,understated,0.8,15
bge_m3_logreg_indomain,turbofan,codemixed,1.0,18
bge_m3_logreg_indomain,turbofan,consequence,1.0,24
bge_m3_logreg_indomain,turbofan,jargon,1.0,24
bge_m3_logreg_indomain,turbofan,negation,0.8333333333333334,18
bge_m3_logreg_indomain,turbofan,quantitative,0.8333333333333334,18
bge_m3_logreg_indomain,turbofan,terse,1.0,9
bge_m3_logreg_indomain,turbofan,understated,0.8,15
embedding_severity,pronostia,codemixed,0.6111111111111112,18
embedding_severity,pronostia,consequence,0.625,24
embedding_severity,pronostia,jargon,0.625,24
embedding_severity,pronostia,negation,0.6666666666666666,18
embedding_severity,pronostia,quantitative,0.6666666666666666,18
embedding_severity,pronostia,terse,0.6666666666666666,9
embedding_severity,pronostia,understated,0.8,15
embedding_severity,simulator,codemixed,0.6666666666666666,18
embedding_severity,simulator,consequence,1.0,24
embedding_severity,simulator,jargon,0.875,24
embedding_severity,simulator,negation,0.3333333333333333,18
embedding_severity,simulator,quantitative,0.8333333333333334,18
embedding_severity,simulator,terse,0.6666666666666666,9
embedding_severity,simulator,understated,0.8,15
embedding_severity,simulator_calibrated,codemixed,0.6666666666666666,18
embedding_severity,simulator_calibrated,consequence,1.0,24
embedding_severity,simulator_calibrated,jargon,0.875,24
embedding_severity,simulator_calibrated,negation,0.3333333333333333,18
embedding_severity,simulator_calibrated,quantitative,0.8333333333333334,18
embedding_severity,simulator_calibrated,terse,0.5555555555555556,9
embedding_severity,simulator_calibrated,understated,0.8,15
embedding_severity,turbofan,codemixed,0.8333333333333334,18
embedding_severity,turbofan,consequence,1.0,24
embedding_severity,turbofan,jargon,0.875,24
embedding_severity,turbofan,negation,0.3333333333333333,18
embedding_severity,turbofan,quantitative,0.8333333333333334,18
embedding_severity,turbofan,terse,0.6666666666666666,9
embedding_severity,turbofan,understated,0.8,15
fixed_midrange,pronostia,codemixed,0.6666666666666666,18
fixed_midrange,pronostia,consequence,0.625,24
fixed_midrange,pronostia,jargon,0.625,24
fixed_midrange,pronostia,negation,0.6666666666666666,18
fixed_midrange,pronostia,quantitative,0.6666666666666666,18
fixed_midrange,pronostia,terse,0.6666666666666666,9
fixed_midrange,pronostia,understated,0.8,15
fixed_midrange,simulator,codemixed,0.6666666666666666,18
fixed_midrange,simulator,consequence,0.625,24
fixed_midrange,simulator,jargon,0.625,24
fixed_midrange,simulator,negation,0.6666666666666666,18
fixed_midrange,simulator,quantitative,0.6666666666666666,18
fixed_midrange,simulator,terse,0.6666666666666666,9
