arm,n,severity_accuracy,high_recall,over_escalation,fallback_rate,p50_latency_ms,p95_latency_ms,mean_input_tokens,mean_output_tokens,usd_per_1000
bge_m3_logreg,315,0.8285714285714286,0.9411764705882353,0.08450704225352113,0.0,445.1620999898296,542.4822999921162,,,0.0
embedding_severity,315,0.7523809523809524,0.8823529411764706,0.11267605633802817,0.0,33.11580000445247,44.785199977923185,,,0.0
fixed_midrange,315,0.3904761904761905,0.0,0.0,0.0,0.5364999815355986,0.7104999967850745,,,0.0
gemini_2_5_flash__production,315,1.0,1.0,0.0,0.0,4571.921586990356,6900.7572174072275,1525.6095238095238,706.5809523809523,2.2241352380952377
gemini_2_5_flash_nothink__production,315,0.9682539682539683,1.0,0.0,0.0,1685.1527690887451,3070.8065032959,1525.6095238095238,92.37777777777778,0.6886273015873017
gemini_3_5_flash__production,315,1.0,1.0,0.0,0.0,3656.996250152588,4897.368621826172,1525.6095238095238,754.8761904761905,9.0823
gemma3_4b__production,315,0.5523809523809524,1.0,0.43661971830985913,0.0,16895.0092792511,19144.551491737366,1660.6095238095238,78.77142857142857,0.0
gpt_oss_120b__production,315,0.9492063492063492,0.8431372549019608,0.0,0.0,1217.289686203003,2703.8935422897343,1690.6380952380953,390.34603174603177,0.4878033333333333
keyword_only,315,0.3523809523809524,1.0,0.9295774647887324,0.0,0.5475999787449837,1.139500003773719,,,0.0
keyword_regex_extended,315,0.6952380952380952,0.29411764705882354,0.0,0.0,0.7308999774977565,1.2903000169899315,,,0.0
keyword_regex_severity,315,0.6952380952380952,0.29411764705882354,0.0,0.0,0.5736000020988286,1.0036999883595854,,,0.0
llama3_2_3b__production,315,0.7238095238095238,0.9705882352941176,0.15492957746478872,0.0,11281.837463378906,12427.970600128174,1621.752380952381,73.54285714285714,0.0
minilm_finetuned,315,0.819047619047619,0.7058823529411765,0.028169014084507043,0.0,29.376499995123595,36.83250001631677,,,0.0
minilm_logreg,315,0.7714285714285715,0.8529411764705882,0.07042253521126761,0.0,35.05159998894669,45.10439999285154,,,0.0
qwen3_4b__production,315,0.5714285714285714,1.0,0.3380281690140845,0.0,7118.464708328247,7446.719551086426,1655.7714285714285,89.38095238095238,0.0
qwen3_8_27b__production,315,0.9904761904761905,1.0,0.0,0.0,444.3647861480713,607.9187393188477,1720.6857142857143,91.52063492063492,1.742631111111111
tfidf_logreg,315,0.9904761904761905,0.9705882352941176,0.0,0.0,4.816399974515662,6.066199974156916,,,0.0
