reference,arm,arm_accuracy,reference_accuracy,diff,ci_lo,ci_hi,p,p_method,n_groups,p_holm
keyword_regex_severity,gemini_2_5_flash__production,1.0,0.6952380952380952,0.30092592592592593,0.14814814814814814,0.4768518518518518,0.001953125,exact,18,0.03125
keyword_regex_severity,gemini_2_5_flash_nothink__production,0.9682539682539683,0.6952380952380952,0.2700617283950617,0.10802469135802467,0.4552469135802468,0.005859375,exact,18,0.0703125
keyword_regex_severity,gemini_3_5_flash__production,1.0,0.6952380952380952,0.30092592592592593,0.14814814814814814,0.4768518518518518,0.001953125,exact,18,0.03125
keyword_regex_severity,gemma3_4b__production,0.5523809523809524,0.6952380952380952,-0.1435185185185185,-0.45370370370370366,0.1851851851851852,0.41412353515625,exact,18,1.0
keyword_regex_severity,gpt_oss_120b__production,0.9492063492063492,0.6952380952380952,0.2469135802469136,0.10185185185185185,0.41358024691358025,0.00390625,exact,18,0.05078125
keyword_regex_severity,llama3_2_3b__production,0.7238095238095238,0.6952380952380952,0.03240740740740743,-0.2314814814814815,0.30104166666666504,0.843994140625,exact,18,1.0
keyword_regex_severity,qwen3_4b__production,0.5714285714285714,0.6952380952380952,-0.12499999999999997,-0.4351851851851851,0.19456018518518353,0.468017578125,exact,18,1.0
keyword_regex_severity,qwen3_8_27b__production,0.9904761904761905,0.6952380952380952,0.2916666666666667,0.13425925925925924,0.4722222222222222,0.0029296875,exact,18,0.041015625
bge_m3_logreg,gemini_2_5_flash__production,1.0,0.8285714285714286,0.17592592592592593,0.05555555555555555,0.33333333333333337,0.0078125,exact,18,0.0859375
bge_m3_logreg,gemini_2_5_flash_nothink__production,0.9682539682539683,0.8285714285714286,0.1450617283950617,-9.25185853854297e-18,0.32098765432098764,0.12890625,exact,18,0.7734375
bge_m3_logreg,gemini_3_5_flash__production,1.0,0.8285714285714286,0.17592592592592593,0.05555555555555555,0.33333333333333337,0.0078125,exact,18,0.0859375
bge_m3_logreg,gemma3_4b__production,0.5523809523809524,0.8285714285714286,-0.2685185185185185,-0.4537037037037038,-0.10185185185185185,0.015625,exact,18,0.140625
bge_m3_logreg,gpt_oss_120b__production,0.9492063492063492,0.8285714285714286,0.12191358024691357,-0.023148148148148154,0.2978395061728395,0.201171875,exact,18,1.0
bge_m3_logreg,llama3_2_3b__production,0.7238095238095238,0.8285714285714286,-0.09259259259259259,-0.28703703703703703,0.10185185185185186,0.4296875,exact,18,1.0
bge_m3_logreg,qwen3_4b__production,0.5714285714285714,0.8285714285714286,-0.25,-0.4351851851851852,-0.08333333333333333,0.017578125,exact,18,0.140625
bge_m3_logreg,qwen3_8_27b__production,0.9904761904761905,0.8285714285714286,0.16666666666666666,0.037037037037037035,0.3240740740740741,0.02734375,exact,18,0.19140625
