arm,checkpoint,style,status_match,n
bge_m3_logreg,pronostia,typo25,0.6729559748427673,159
bge_m3_logreg,pronostia,typo50,0.6730769230769231,156
bge_m3_logreg,simulator,typo25,0.9245283018867925,159
bge_m3_logreg,simulator,typo50,0.9230769230769231,156
bge_m3_logreg,simulator_calibrated,typo25,0.9119496855345912,159
bge_m3_logreg,simulator_calibrated,typo50,0.9038461538461539,156
bge_m3_logreg,turbofan,typo25,0.9245283018867925,159
bge_m3_logreg,turbofan,typo50,0.9230769230769231,156
embedding_severity,pronostia,typo25,0.6792452830188679,159
embedding_severity,pronostia,typo50,0.6730769230769231,156
embedding_severity,simulator,typo25,0.9245283018867925,159
embedding_severity,simulator,typo50,0.8461538461538461,156
embedding_severity,simulator_calibrated,typo25,0.9182389937106918,159
embedding_severity,simulator_calibrated,typo50,0.8269230769230769,156
embedding_severity,turbofan,typo25,0.9245283018867925,159
embedding_severity,turbofan,typo50,0.8461538461538461,156
fixed_midrange,pronostia,typo25,0.6792452830188679,159
fixed_midrange,pronostia,typo50,0.6730769230769231,156
fixed_midrange,simulator,typo25,0.6792452830188679,159
fixed_midrange,simulator,typo50,0.6730769230769231,156
fixed_midrange,simulator_calibrated,typo25,0.6540880503144654,159
fixed_midrange,simulator_calibrated,typo50,0.6410256410256411,156
fixed_midrange,turbofan,typo25,0.6792452830188679,159
fixed_midrange,turbofan,typo50,0.6730769230769231,156
gemini_2_5_flash__production,pronostia,typo25,0.6666666666666666,159
gemini_2_5_flash__production,pronostia,typo50,0.6730769230769231,156
gemini_2_5_flash__production,simulator,typo25,0.8805031446540881,159
gemini_2_5_flash__production,simulator,typo50,0.8782051282051282,156
gemini_2_5_flash__production,simulator_calibrated,typo25,0.9748427672955975,159
gemini_2_5_flash__production,simulator_calibrated,typo50,0.967948717948718,156
gemini_2_5_flash__production,turbofan,typo25,0.9811320754716981,159
gemini_2_5_flash__production,turbofan,typo50,0.9935897435897436,156
gemini_2_5_flash_nothink__production,pronostia,typo25,0.6666666666666666,159
gemini_2_5_flash_nothink__production,pronostia,typo50,0.6730769230769231,156
gemini_2_5_flash_nothink__production,simulator,typo25,0.8867924528301887,159
gemini_2_5_flash_nothink__production,simulator,typo50,0.8589743589743589,156
gemini_2_5_flash_nothink__production,simulator_calibrated,typo25,0.9748427672955975,159
gemini_2_5_flash_nothink__production,simulator_calibrated,typo50,0.9615384615384616,156
gemini_2_5_flash_nothink__production,turbofan,typo25,0.9874213836477987,159
gemini_2_5_flash_nothink__production,turbofan,typo50,0.9807692307692307,156
gemini_3_5_flash__production,pronostia,typo25,0.6666666666666666,159
gemini_3_5_flash__production,pronostia,typo50,0.6730769230769231,156
gemini_3_5_flash__production,simulator,typo25,0.8867924528301887,159
gemini_3_5_flash__production,simulator,typo50,0.8846153846153846,156
gemini_3_5_flash__production,simulator_calibrated,typo25,0.9748427672955975,159
gemini_3_5_flash__production,simulator_calibrated,typo50,0.9615384615384616,156
gemini_3_5_flash__production,turbofan,typo25,1.0,159
gemini_3_5_flash__production,turbofan,typo50,1.0,156
gemma3_4b__production,pronostia,typo25,0.6666666666666666,159
gemma3_4b__production,pronostia,typo50,0.6730769230769231,156
gemma3_4b__production,simulator,typo25,0.5094339622641509,159
gemma3_4b__production,simulator,typo50,0.4807692307692308,156
gemma3_4b__production,simulator_calibrated,typo25,0.710691823899371,159
gemma3_4b__production,simulator_calibrated,typo50,0.6666666666666666,156
gemma3_4b__production,turbofan,typo25,0.7169811320754716,159
gemma3_4b__production,turbofan,typo50,0.6923076923076923,156
gpt_oss_120b__production,pronostia,typo25,0.6666666666666666,159
gpt_oss_120b__production,pronostia,typo50,0.6730769230769231,156
gpt_oss_120b__production,simulator,typo25,0.8679245283018868,159
gpt_oss_120b__production,simulator,typo50,0.8269230769230769,156
gpt_oss_120b__production,simulator_calibrated,typo25,0.9748427672955975,159
gpt_oss_120b__production,simulator_calibrated,typo50,0.9102564102564102,156
gpt_oss_120b__production,turbofan,typo25,0.9685534591194969,159
gpt_oss_120b__production,turbofan,typo50,0.9102564102564102,156
keyword_only,pronostia,typo25,0.6729559748427673,159
keyword_only,pronostia,typo50,0.6730769230769231,156
keyword_only,simulator,typo25,0.3333333333333333,159
keyword_only,simulator,typo50,0.3269230769230769,156
keyword_only,simulator_calibrated,typo25,0.37735849056603776,159
keyword_only,simulator_calibrated,typo50,0.36538461538461536,156
keyword_only,turbofan,typo25,0.37735849056603776,159
keyword_only,turbofan,typo50,0.36538461538461536,156
keyword_regex_extended,pronostia,typo25,0.6729559748427673,159
keyword_regex_extended,pronostia,typo50,0.6730769230769231,156
keyword_regex_extended,simulator,typo25,0.8113207547169812,159
keyword_regex_extended,simulator,typo50,0.7307692307692307,156
keyword_regex_extended,simulator_calibrated,typo25,0.7987421383647799,159
keyword_regex_extended,simulator_calibrated,typo50,0.7115384615384616,156
keyword_regex_extended,turbofan,typo25,0.8113207547169812,159
keyword_regex_extended,turbofan,typo50,0.7307692307692307,156
keyword_regex_severity,pronostia,typo25,0.6729559748427673,159
keyword_regex_severity,pronostia,typo50,0.6730769230769231,156
keyword_regex_severity,simulator,typo25,0.8113207547169812,159
keyword_regex_severity,simulator,typo50,0.7307692307692307,156
keyword_regex_severity,simulator_calibrated,typo25,0.7987421383647799,159
keyword_regex_severity,simulator_calibrated,typo50,0.7115384615384616,156
keyword_regex_severity,turbofan,typo25,0.8113207547169812,159
keyword_regex_severity,turbofan,typo50,0.7307692307692307,156
llama3_2_3b__production,pronostia,typo25,0.6666666666666666,159
llama3_2_3b__production,pronostia,typo50,0.6730769230769231,156
llama3_2_3b__production,simulator,typo25,0.6981132075471698,159
llama3_2_3b__production,simulator,typo50,0.6923076923076923,156
llama3_2_3b__production,simulator_calibrated,typo25,0.8616352201257862,159
llama3_2_3b__production,simulator_calibrated,typo50,0.8205128205128205,156
llama3_2_3b__production,turbofan,typo25,0.8867924528301887,159
